Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev
0,,1.0000000000e+03,1.0000000000e+02,5.7692307692e-04,1.0000000000e-08
0,,1.0000000000e+03,1.0200000000e+02,5.6818181818e-04,1.0000000000e-08
0,,1.0000000000e+03,1.0400000000e+02,5.5970149254e-04,1.0000000000e-08
0,,1.0000000000e+03,1.0600000000e+02,5.5147058824e-04,1.0000000000e-08
0,,1.0000000000e+03,1.0800000000e+02,5.4347826087e-04,1.0000000000e-08
0,,1.0000000000e+03,1.1000000000e+02,5.3571428571e-04,1.0000000000e-08
0,,1.0000000000e+03,1.1200000000e+02,5.2816901408e-04,1.0000000000e-08
0,,1.0000000000e+03,1.1400000000e+02,5.2083333333e-04,1.0000000000e-08
0,,1.0000000000e+03,1.1600000000e+02,5.1369863014e-04,1.0000000000e-08
0,,1.0000000000e+03,1.1800000000e+02,5.0675675676e-04,1.0000000000e-08
0,,1.0000000000e+03,1.2000000000e+02,5.0000000000e-04,1.0000000000e-08
0,,1.0000000000e+03,1.2200000000e+02,4.9342105263e-04,1.0000000000e-08
0,,1.0000000000e+03,1.2400000000e+02,4.8701298701e-04,1.0000000000e-08
0,,1.0000000000e+03,1.2600000000e+02,4.8076923077e-04,1.0000000000e-08
0,,1.0000000000e+03,1.2800000000e+02,4.7468354430e-04,1.0000000000e-08
0,,1.0000000000e+03,1.3000000000e+02,4.6875000000e-04,1.0000000000e-08
0,,1.0000000000e+03,1.3200000000e+02,4.6296296296e-04,1.0000000000e-08
0,,1.0000000000e+03,1.3400000000e+02,4.5731707317e-04,1.0000000000e-08
0,,1.0000000000e+03,1.3600000000e+02,4.5180722892e-04,1.0000000000e-08
0,,1.0000000000e+03,1.3800000000e+02,4.4642857143e-04,1.0000000000e-08
0,,1.0000000000e+03,1.4000000000e+02,4.4117647059e-04,1.0000000000e-08
0,,1.0000000000e+03,1.4200000000e+02,4.3604651163e-04,1.0000000000e-08
0,,1.0000000000e+03,1.4400000000e+02,4.3103448276e-04,1.0000000000e-08
0,,1.0000000000e+03,1.4600000000e+02,4.2613636364e-04,1.0000000000e-08
0,,1.0000000000e+03,1.4800000000e+02,4.2134831461e-04,1.0000000000e-08
0,,1.0000000000e+03,1.5000000000e+02,4.1666666667e-04,1.0000000000e-08
0,,1.0000000000e+03,1.5200000000e+02,4.1208791209e-04,1.0000000000e-08
0,,1.0000000000e+03,1.5400000000e+02,4.0760869565e-04,1.0000000000e-08
0,,1.0000000000e+03,1.5600000000e+02,4.0322580645e-04,1.0000000000e-08
0,,1.0000000000e+03,1.5800000000e+02,3.9893617021e-04,1.0000000000e-08
0,,1.0000000000e+03,1.6000000000e+02,3.9473684211e-04,1.0000000000e-08
0,,1.0000000000e+03,1.6200000000e+02,3.9062500000e-04,1.0000000000e-08
0,,1.0000000000e+03,1.6400000000e+02,3.8659793814e-04,1.0000000000e-08
0,,1.0000000000e+03,1.6600000000e+02,3.8265306122e-04,1.0000000000e-08
0,,1.0000000000e+03,1.6800000000e+02,3.7878787879e-04,1.0000000000e-08
0,,1.0000000000e+03,1.7000000000e+02,3.7500000000e-04,1.0000000000e-08
0,,1.0000000000e+03,1.7200000000e+02,3.7128712871e-04,1.0000000000e-08
0,,1.0000000000e+03,1.7400000000e+02,3.6764705882e-04,1.0000000000e-08
0,,1.0000000000e+03,1.7600000000e+02,3.6407766990e-04,1.0000000000e-08
0,,1.0000000000e+03,1.7800000000e+02,3.6057692308e-04,1.0000000000e-08
0,,1.0000000000e+03,1.8000000000e+02,3.5714285714e-04,1.0000000000e-08
0,,1.0000000000e+03,1.8200000000e+02,3.5377358491e-04,1.0000000000e-08
0,,1.0000000000e+03,1.8400000000e+02,3.5046728972e-04,1.0000000000e-08
0,,1.0000000000e+03,1.8600000000e+02,3.4722222222e-04,1.0000000000e-08
0,,1.0000000000e+03,1.8800000000e+02,3.4403669725e-04,1.0000000000e-08
0,,1.0000000000e+03,1.9000000000e+02,3.4090909091e-04,1.0000000000e-08
0,,1.0000000000e+03,1.9200000000e+02,3.3783783784e-04,1.0000000000e-08
0,,1.0000000000e+03,1.9400000000e+02,3.3482142857e-04,1.0000000000e-08
0,,1.0000000000e+03,1.9600000000e+02,3.3185840708e-04,1.0000000000e-08
0,,1.0000000000e+03,1.9800000000e+02,3.2894736842e-04,1.0000000000e-08
0,,1.0000000000e+03,2.0000000000e+02,3.2608695652e-04,1.0000000000e-08
0,,1.0000000000e+03,2.0200000000e+02,3.2327586207e-04,1.0000000000e-08
0,,1.0000000000e+03,2.0400000000e+02,3.2051282051e-04,1.0000000000e-08
0,,1.0000000000e+03,2.0600000000e+02,3.1779661017e-04,1.0000000000e-08
0,,1.0000000000e+03,2.0800000000e+02,3.1512605042e-04,1.0000000000e-08
0,,1.0000000000e+03,2.1000000000e+02,3.1250000000e-04,1.0000000000e-08
0,,1.0000000000e+03,2.1200000000e+02,3.0991735537e-04,1.0000000000e-08
0,,1.0000000000e+03,2.1400000000e+02,3.0737704918e-04,1.0000000000e-08
0,,1.0000000000e+03,2.1600000000e+02,3.0487804878e-04,1.0000000000e-08
0,,1.0000000000e+03,2.1800000000e+02,3.0241935484e-04,1.0000000000e-08
0,,1.0000000000e+03,2.2000000000e+02,3.0000000000e-04,1.0000000000e-08
0,,1.0000000000e+03,2.2200000000e+02,2.9761904762e-04,1.0000000000e-08
0,,1.0000000000e+03,2.2400000000e+02,2.9527559055e-04,1.0000000000e-08
0,,1.0000000000e+03,2.2600000000e+02,2.9296875000e-04,1.0000000000e-08
0,,1.0000000000e+03,2.2800000000e+02,2.9069767442e-04,1.0000000000e-08
0,,1.0000000000e+03,2.3000000000e+02,2.8846153846e-04,1.0000000000e-08
0,,1.0000000000e+03,2.3200000000e+02,2.8625954198e-04,1.0000000000e-08
0,,1.0000000000e+03,2.3400000000e+02,2.8409090909e-04,1.0000000000e-08
0,,1.0000000000e+03,2.3600000000e+02,2.8195488722e-04,1.0000000000e-08
0,,1.0000000000e+03,2.3800000000e+02,2.7985074627e-04,1.0000000000e-08
0,,1.0000000000e+03,2.4000000000e+02,2.7777777778e-04,1.0000000000e-08
0,,1.0000000000e+03,2.4200000000e+02,2.7573529412e-04,1.0000000000e-08
0,,1.0000000000e+03,2.4400000000e+02,2.7372262774e-04,1.0000000000e-08
0,,1.0000000000e+03,2.4600000000e+02,2.7173913043e-04,1.0000000000e-08
0,,1.0000000000e+03,2.4800000000e+02,2.6978417266e-04,1.0000000000e-08
0,,1.0000000000e+03,2.5000000000e+02,2.6785714286e-04,1.0000000000e-08
0,,1.0000000000e+03,2.5200000000e+02,2.6595744681e-04,1.0000000000e-08
0,,1.0000000000e+03,2.5400000000e+02,2.6408450704e-04,1.0000000000e-08
0,,1.0000000000e+03,2.5600000000e+02,2.6223776224e-04,1.0000000000e-08
0,,1.0000000000e+03,2.5800000000e+02,2.6041666667e-04,1.0000000000e-08
0,,1.0000000000e+03,2.6000000000e+02,2.5862068966e-04,1.0000000000e-08
0,,1.0000000000e+03,2.6200000000e+02,2.5684931507e-04,1.0000000000e-08
0,,1.0000000000e+03,2.6400000000e+02,2.5510204082e-04,1.0000000000e-08
0,,1.0000000000e+03,2.6600000000e+02,2.5337837838e-04,1.0000000000e-08
0,,1.0000000000e+03,2.6800000000e+02,2.5167785235e-04,1.0000000000e-08
0,,1.0000000000e+03,2.7000000000e+02,2.5000000000e-04,1.0000000000e-08
0,,1.0000000000e+03,2.7200000000e+02,2.4834437086e-04,1.0000000000e-08
0,,1.0000000000e+03,2.7400000000e+02,2.4671052632e-04,1.0000000000e-08
0,,1.0000000000e+03,2.7600000000e+02,2.4509803922e-04,1.0000000000e-08
0,,1.0000000000e+03,2.7800000000e+02,2.4350649351e-04,1.0000000000e-08
0,,1.0000000000e+03,2.8000000000e+02,2.4193548387e-04,1.0000000000e-08
0,,1.0000000000e+03,2.8200000000e+02,2.4038461538e-04,1.0000000000e-08
0,,1.0000000000e+03,2.8400000000e+02,2.3885350318e-04,1.0000000000e-08
0,,1.0000000000e+03,2.8600000000e+02,2.3734177215e-04,1.0000000000e-08
0,,1.0000000000e+03,2.8800000000e+02,2.3584905660e-04,1.0000000000e-08
0,,1.0000000000e+03,2.9000000000e+02,2.3437500000e-04,1.0000000000e-08
0,,1.0000000000e+03,2.9200000000e+02,2.3291925466e-04,1.0000000000e-08
0,,1.0000000000e+03,2.9400000000e+02,2.3148148148e-04,1.0000000000e-08
0,,1.0000000000e+03,2.9600000000e+02,2.3006134969e-04,1.0000000000e-08
0,,1.0000000000e+03,2.9800000000e+02,2.2865853659e-04,1.0000000000e-08
0,,1.0000000000e+03,3.0000000000e+02,2.2727272727e-04,1.0000000000e-08
