[Header]
TITLE,rho_sc_synth
BYAPP, Resistivity, 2.0, 1.0
INFO, , Sample1 Name
INFO, 2.0, Sample1 Cross Section
INFO, 2.0, Sample1 Length
INFO, 2.0, Sample2 Cross Section
INFO, 2.0, Sample2 Length
[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm-m),Bridge 2 Resistivity (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms)
,0,,217.500000,0.0000,90.0,9.8733072052e-07,7.1833357662e-07,25,9.8733072052e-04,7.1833357662e-04
,0,,215.000000,0.0000,90.0,9.8979606142e-07,7.1452447937e-07,25,9.8979606142e-04,7.1452447937e-04
,0,,212.500000,0.0000,90.0,9.8414536767e-07,7.1507878617e-07,25,9.8414536767e-04,7.1507878617e-04
,0,,210.000000,0.0000,90.0,9.8327737263e-07,7.1284236318e-07,25,9.8327737263e-04,7.1284236318e-04
,0,,207.500000,0.0000,90.0,9.9485817258e-07,7.0763268208e-07,25,9.9485817258e-04,7.0763268208e-04
,0,,205.000000,0.0000,90.0,9.8127912440e-07,7.0779991815e-07,25,9.8127912440e-04,7.0779991815e-04
,0,,202.500000,0.0000,90.0,9.8972331439e-07,7.0113626280e-07,25,9.8972331439e-04,7.0113626280e-04
,0,,200.000000,0.0000,90.0,9.8430612104e-07,6.9943182743e-07,25,9.8430612104e-04,6.9943182743e-04
,0,,197.500000,0.0000,90.0,9.8439361923e-07,6.9979090759e-07,25,9.8439361923e-04,6.9979090759e-04
,0,,195.000000,0.0000,90.0,9.8676573082e-07,6.9412453165e-07,25,9.8676573082e-04,6.9412453165e-04
,0,,192.500000,0.0000,90.0,9.7780723780e-07,6.8948773289e-07,25,9.7780723780e-04,6.8948773289e-04
,0,,190.000000,0.0000,90.0,9.8283371653e-07,6.9120042389e-07,25,9.8283371653e-04,6.9120042389e-04
,0,,187.500000,0.0000,90.0,9.8720222307e-07,6.8917445931e-07,25,9.8720222307e-04,6.8917445931e-04
,0,,185.000000,0.0000,90.0,9.8344453448e-07,6.8356502396e-07,25,9.8344453448e-04,6.8356502396e-04
,0,,182.500000,0.0000,90.0,9.7747767096e-07,6.8018667489e-07,25,9.7747767096e-04,6.8018667489e-04
,0,,180.000000,0.0000,90.0,9.7841434726e-07,6.8051328839e-07,25,9.7841434726e-04,6.8051328839e-04
,0,,177.500000,0.0000,90.0,9.7287290899e-07,6.7735308489e-07,25,9.7287290899e-04,6.7735308489e-04
,0,,175.000000,0.0000,90.0,9.8239327645e-07,6.7617017439e-07,25,9.8239327645e-04,6.7617017439e-04
,0,,172.500000,0.0000,90.0,9.7433524764e-07,6.7655638050e-07,25,9.7433524764e-04,6.7655638050e-04
,0,,170.000000,0.0000,90.0,9.8452902329e-07,6.7428018351e-07,25,9.8452902329e-04,6.7428018351e-04
,0,,167.500000,0.0000,90.0,9.7582983561e-07,6.6841747943e-07,25,9.7582983561e-04,6.6841747943e-04
,0,,165.000000,0.0000,90.0,9.7893194249e-07,6.6540309900e-07,25,9.7893194249e-04,6.6540309900e-04
,0,,162.500000,0.0000,90.0,9.7135304496e-07,6.6217126515e-07,25,9.7135304496e-04,6.6217126515e-04
,0,,160.000000,0.0000,90.0,9.7324037996e-07,6.5907425841e-07,25,9.7324037996e-04,6.5907425841e-04
,0,,157.500000,0.0000,90.0,9.7788143666e-07,6.5810889569e-07,25,9.7788143666e-04,6.5810889569e-04
,0,,155.000000,0.0000,90.0,9.7436375278e-07,6.5412007714e-07,25,9.7436375278e-04,6.5412007714e-04
,0,,152.500000,0.0000,90.0,9.7082615547e-07,6.5325948482e-07,25,9.7082615547e-04,6.5325948482e-04
,0,,150.000000,0.0000,90.0,9.7372897639e-07,6.4740913579e-07,25,9.7372897639e-04,6.4740913579e-04
,0,,147.500000,0.0000,90.0,9.7123663077e-07,6.4607365685e-07,25,9.7123663077e-04,6.4607365685e-04
,0,,145.000000,0.0000,90.0,9.6855302849e-07,6.4556332725e-07,25,9.6855302849e-04,6.4556332725e-04
,0,,142.500000,0.0000,90.0,9.6551424607e-07,6.4086971509e-07,25,9.6551424607e-04,6.4086971509e-04
,0,,140.000000,0.0000,90.0,9.7261121461e-07,6.3775834185e-07,25,9.7261121461e-04,6.3775834185e-04
,0,,137.500000,0.0000,90.0,9.6416509830e-07,6.4092254604e-07,25,9.6416509830e-04,6.4092254604e-04
,0,,135.000000,0.0000,90.0,9.6572629536e-07,6.3603560689e-07,25,9.6572629536e-04,6.3603560689e-04
,0,,132.500000,0.0000,90.0,9.6472158228e-07,6.3439213395e-07,25,9.6472158228e-04,6.3439213395e-04
,0,,130.000000,0.0000,90.0,9.6854667327e-07,6.3179379273e-07,25,9.6854667327e-04,6.3179379273e-04
,0,,127.500000,0.0000,90.0,9.6736152116e-07,6.2726146551e-07,25,9.6736152116e-04,6.2726146551e-04
,0,,125.000000,0.0000,90.0,9.6411913623e-07,6.2648455611e-07,25,9.6411913623e-04,6.2648455611e-04
,0,,122.500000,0.0000,90.0,9.6030156011e-07,6.2318210242e-07,25,9.6030156011e-04,6.2318210242e-04
,0,,120.000000,0.0000,90.0,9.7085598888e-07,6.1904089132e-07,25,9.7085598888e-04,6.1904089132e-04
,0,,117.500000,0.0000,90.0,9.6369372932e-07,6.1727025396e-07,25,9.6369372932e-04,6.1727025396e-04
,0,,115.000000,0.0000,90.0,9.5618791515e-07,6.1535352924e-07,25,9.5618791515e-04,6.1535352924e-04
,0,,112.500000,0.0000,90.0,9.5752141549e-07,6.0979080762e-07,25,9.5752141549e-04,6.0979080762e-04
,0,,110.000000,0.0000,90.0,9.5498351879e-07,6.1151084305e-07,25,9.5498351879e-04,6.1151084305e-04
,0,,107.500000,0.0000,90.0,9.6459222244e-07,6.0948978898e-07,25,9.6459222244e-04,6.0948978898e-04
,0,,105.000000,0.0000,90.0,9.5386359872e-07,6.0527209866e-07,25,9.5386359872e-04,6.0527209866e-04
,0,,102.500000,0.0000,90.0,9.5916795543e-07,6.0304627030e-07,25,9.5916795543e-04,6.0304627030e-04
,0,,100.000000,0.0000,90.0,9.5755408218e-07,5.9734169862e-07,25,9.5755408218e-04,5.9734169862e-04
,0,,97.500000,0.0000,90.0,9.5686273824e-07,5.9686785119e-07,25,9.5686273824e-04,5.9686785119e-04
,0,,95.000000,0.0000,90.0,9.6467088233e-07,5.9425628507e-07,25,9.6467088233e-04,5.9425628507e-04
,0,,92.500000,0.0000,90.0,9.6104920180e-07,5.9376763554e-07,25,9.6104920180e-04,5.9376763554e-04
,0,,90.000000,0.0000,90.0,9.5739467974e-07,5.9130945726e-07,25,9.5739467974e-04,5.9130945726e-04
,0,,87.500000,0.0000,90.0,9.6250710992e-07,5.8640743741e-07,25,9.6250710992e-04,5.8640743741e-04
,0,,85.000000,0.0000,90.0,9.5974615739e-07,5.8564757093e-07,25,9.5974615739e-04,5.8564757093e-04
,0,,82.500000,0.0000,90.0,9.5705787547e-07,5.8031603209e-07,25,9.5705787547e-04,5.8031603209e-04
,0,,80.000000,0.0000,90.0,9.5449523267e-07,5.7792302164e-07,25,9.5449523267e-04,5.7792302164e-04
,0,,77.500000,0.0000,90.0,9.5659066312e-07,5.7547852216e-07,25,9.5659066312e-04,5.7547852216e-04
,0,,75.000000,0.0000,90.0,9.5220962735e-07,5.7171768983e-07,25,9.5220962735e-04,5.7171768983e-04
,0,,72.500000,0.0000,90.0,9.5043082962e-07,5.7359181971e-07,25,9.5043082962e-04,5.7359181971e-04
,0,,70.000000,0.0000,90.0,9.5119288689e-07,5.7080368291e-07,25,9.5119288689e-04,5.7080368291e-04
,0,,67.500000,0.0000,90.0,9.5284619015e-07,5.6775306241e-07,25,9.5284619015e-04,5.6775306241e-04
,0,,65.000000,0.0000,90.0,9.5158008505e-07,5.6320809882e-07,25,9.5158008505e-04,5.6320809882e-04
,0,,62.500000,0.0000,90.0,9.5130705273e-07,5.6306583341e-07,25,9.5130705273e-04,5.6306583341e-04
,0,,60.000000,0.0000,90.0,9.4829220570e-07,5.5919087465e-07,25,9.4829220570e-04,5.5919087465e-04
,0,,57.500000,0.0000,90.0,9.4610815137e-07,5.5796164147e-07,25,9.4610815137e-04,5.5796164147e-04
,0,,55.000000,0.0000,90.0,9.4664487423e-07,5.5414592514e-07,25,9.4664487423e-04,5.5414592514e-04
,0,,52.500000,0.0000,90.0,9.4157230682e-07,5.5188507381e-07,25,9.4157230682e-04,5.5188507381e-04
,0,,50.000000,0.0000,90.0,9.4244990216e-07,5.5065581824e-07,25,9.4244990216e-04,5.5065581824e-04
,0,,47.500000,0.0000,90.0,9.4970612476e-07,5.4805469783e-07,25,9.4970612476e-04,5.4805469783e-04
,0,,45.000000,0.0000,90.0,9.4379931054e-07,5.4203769222e-07,25,9.4379931054e-04,5.4203769222e-04
,0,,42.500000,0.0000,90.0,9.4186793797e-07,5.4243747467e-07,25,9.4186793797e-04,5.4243747467e-04
,0,,40.000000,0.0000,90.0,9.4458977319e-07,5.4028268923e-07,25,9.4458977319e-04,5.4028268923e-04
,0,,37.500000,0.0000,90.0,9.4681195762e-07,5.3604256849e-07,25,9.4681195762e-04,5.3604256849e-04
,0,,35.000000,0.0000,90.0,9.4112318740e-07,5.3635488848e-07,25,9.4112318740e-04,5.3635488848e-04
,0,,32.500000,0.0000,90.0,9.3884142443e-07,5.3283774593e-07,25,9.3884142443e-04,5.3283774593e-04
,0,,30.000000,0.0000,90.0,9.4994319499e-07,5.2557635110e-07,25,9.4994319499e-04,5.2557635110e-04
,0,,27.500000,0.0000,90.0,9.3652738245e-07,5.2848473043e-07,25,9.3652738245e-04,5.2848473043e-04
,0,,25.000000,0.0000,90.0,9.4369089451e-07,5.2646669601e-07,25,9.4369089451e-04,5.2646669601e-04
,0,,22.500000,0.0000,90.0,9.4066317399e-07,5.2243683343e-07,25,9.4066317399e-04,5.2243683343e-04
,0,,20.000000,0.0000,90.0,9.4179526446e-07,5.2083364804e-07,25,9.4179526446e-04,5.2083364804e-04
,0,,17.500000,0.0000,90.0,9.3940371279e-07,5.1779825135e-07,25,9.3940371279e-04,5.1779825135e-04
,0,,15.000000,0.0000,90.0,9.3359197993e-07,5.1412554193e-07,25,9.3359197993e-04,5.1412554193e-04
,0,,12.500000,0.0000,90.0,9.2598425269e-07,5.1406340103e-07,25,9.2598425269e-04,5.1406340103e-04
,0,,12.000000,0.0000,90.0,9.3595749711e-07,5.1360663102e-07,25,9.3595749711e-04,5.1360663102e-04
,0,,11.750000,0.0000,90.0,9.3722801776e-07,5.0795061926e-07,25,9.3722801776e-04,5.0795061926e-04
,0,,11.500000,0.0000,90.0,9.3599927027e-07,5.1397006444e-07,25,9.3599927027e-04,5.1397006444e-04
,0,,11.250000,0.0000,90.0,9.4343458232e-07,5.0946838140e-07,25,9.4343458232e-04,5.0946838140e-04
,0,,11.000000,0.0000,90.0,9.3124845111e-07,5.1104233508e-07,25,9.3124845111e-04,5.1104233508e-04
,0,,10.750000,0.0000,90.0,9.3681832809e-07,5.1108671954e-07,25,9.3681832809e-04,5.1108671954e-04
,0,,10.500000,0.0000,90.0,9.3243777629e-07,5.0981863802e-07,25,9.3243777629e-04,5.0981863802e-04
,0,,10.250000,0.0000,90.0,9.3682077427e-07,5.1007056220e-07,25,9.3682077427e-04,5.1007056220e-04
,0,,10.000000,0.0000,90.0,9.3526157940e-07,5.1116157524e-07,25,9.3526157940e-04,5.1116157524e-04
,0,,9.750000,0.0000,90.0,9.3388220109e-07,5.0885095105e-07,25,9.3388220109e-04,5.0885095105e-04
,0,,9.500000,0.0000,90.0,9.3726000026e-07,5.1101597817e-07,25,9.3726000026e-04,5.1101597817e-04
,0,,9.250000,0.0000,90.0,9.3028132465e-07,5.0810575528e-07,25,9.3028132465e-04,5.0810575528e-04
,0,,9.000000,0.0000,90.0,9.2469314494e-07,5.0993813340e-07,25,9.2469314494e-04,5.0993813340e-04
,0,,8.750000,0.0000,90.0,8.9791794756e-07,5.0860521046e-07,25,8.9791794756e-04,5.0860521046e-04
,0,,8.500000,0.0000,90.0,8.4193221409e-07,5.0916986482e-07,25,8.4193221409e-04,5.0916986482e-04
,0,,8.250000,0.0000,90.0,7.0542005933e-07,5.0749985516e-07,25,7.0542005933e-04,5.0749985516e-04
,0,,8.000000,0.0000,90.0,4.7616623034e-07,5.0853979547e-07,25,4.7616623034e-04,5.0853979547e-04
,0,,7.750000,0.0000,90.0,2.4167272213e-07,5.0660708493e-07,25,2.4167272213e-04,5.0660708493e-04
,0,,7.500000,0.0000,90.0,1.0338491981e-07,5.0626416598e-07,25,1.0338491981e-04,5.0626416598e-04
,0,,7.250000,0.0000,90.0,4.3633886296e-08,5.0839660788e-07,25,4.3633886296e-05,5.0839660788e-04
,0,,7.000000,0.0000,90.0,2.2561691646e-08,5.0921453277e-07,25,2.2561691646e-05,5.0921453277e-04
,0,,6.750000,0.0000,90.0,1.7990280576e-08,5.0767380631e-07,25,1.7990280576e-05,5.0767380631e-04
,0,,6.500000,0.0000,90.0,1.2892031170e-08,5.0607554288e-07,25,1.2892031170e-05,5.0607554288e-04
,0,,6.250000,0.0000,90.0,1.4665342405e-08,5.0399793197e-07,25,1.4665342405e-05,5.0399793197e-04
,0,,6.000000,0.0000,90.0,1.1982163051e-08,5.0625178434e-07,25,1.1982163051e-05,5.0625178434e-04
,0,,5.750000,0.0000,90.0,9.1759071646e-09,5.0592991468e-07,25,9.1759071646e-06,5.0592991468e-04
,0,,5.500000,0.0000,90.0,1.1852899478e-08,5.0663468127e-07,25,1.1852899478e-05,5.0663468127e-04
,0,,5.250000,0.0000,90.0,1.7214586728e-08,5.0800843721e-07,25,1.7214586728e-05,5.0800843721e-04
,0,,5.000000,0.0000,90.0,1.0433816671e-08,5.0472898586e-07,25,1.0433816671e-05,5.0472898586e-04
,0,,4.750000,0.0000,90.0,8.6649742757e-09,5.0549606133e-07,25,8.6649742757e-06,5.0549606133e-04
,0,,4.500000,0.0000,90.0,1.0287951133e-08,5.0220498999e-07,25,1.0287951133e-05,5.0220498999e-04
,0,,4.250000,0.0000,90.0,1.1297021818e-08,5.0165519540e-07,25,1.1297021818e-05,5.0165519540e-04
,0,,4.000000,0.0000,90.0,1.1057890688e-08,5.0558493789e-07,25,1.1057890688e-05,5.0558493789e-04
,0,,3.750000,0.0000,90.0,1.5317352750e-08,5.0263121123e-07,25,1.5317352750e-05,5.0263121123e-04
,0,,3.500000,0.0000,90.0,1.3166595047e-08,5.0303171574e-07,25,1.3166595047e-05,5.0303171574e-04
,0,,3.250000,0.0000,90.0,1.4766919950e-08,5.0365139357e-07,25,1.4766919950e-05,5.0365139357e-04
,0,,3.000000,0.0000,90.0,1.1658630754e-08,5.0015173861e-07,25,1.1658630754e-05,5.0015173861e-04
,0,,2.750000,0.0000,90.0,1.2017842661e-08,5.0635385454e-07,25,1.2017842661e-05,5.0635385454e-04
,0,,2.500000,0.0000,90.0,1.3834344616e-08,5.0220699532e-07,25,1.3834344616e-05,5.0220699532e-04
,0,,2.250000,0.0000,90.0,6.0770730682e-09,5.0470505166e-07,25,6.0770730682e-06,5.0470505166e-04
,0,,2.000000,0.0000,90.0,1.0372053663e-08,5.0308814999e-07,25,1.0372053663e-05,5.0308814999e-04
