[Header]
TITLE,hc_synth
BYAPP, HeatCapacity, 2.0, 1.0
INFO, 3, ATOMS:Atoms per Formula Unit
[Data]
Comment,Time Stamp (sec),Status (code),Sample Temp (Kelvin),Magnetic Field (Oe),Samp HC (mJ/mole-K)
,0,,44.0000,0.0,26739.696711
,0,,45.0000,0.0,27680.523024
,0,,46.0000,0.0,28730.863644
,0,,47.0000,0.0,29774.271654
,0,,48.0000,0.0,30541.799066
,0,,49.0000,0.0,31564.521356
,0,,50.0000,0.0,32425.040370
,0,,52.5000,0.0,34720.368782
,0,,55.0000,0.0,36702.341320
,0,,57.5000,0.0,38780.560620
,0,,60.0000,0.0,40727.715618
,0,,62.5000,0.0,42661.706773
,0,,65.0000,0.0,44389.641578
,0,,67.5000,0.0,45646.217433
,0,,70.0000,0.0,47210.683453
,0,,72.5000,0.0,48823.341446
,0,,75.0000,0.0,49750.080156
,0,,77.5000,0.0,51218.807824
,0,,80.0000,0.0,52441.027810
,0,,82.5000,0.0,53754.832390
,0,,85.0000,0.0,54697.233366
,0,,87.5000,0.0,55500.565982
,0,,90.0000,0.0,56406.850006
,0,,92.5000,0.0,57287.745294
,0,,95.0000,0.0,58408.927027
,0,,97.5000,0.0,58834.218444
,0,,100.0000,0.0,59579.634724
,0,,102.5000,0.0,60382.192113
,0,,105.0000,0.0,60943.749266
,0,,107.5000,0.0,61542.364217
,0,,110.0000,0.0,61951.870952
,0,,112.5000,0.0,62708.248004
,0,,115.0000,0.0,63149.031671
,0,,117.5000,0.0,63952.699637
,0,,120.0000,0.0,64327.614765
,0,,122.5000,0.0,64646.305369
,0,,125.0000,0.0,65209.185808
,0,,127.5000,0.0,65419.525812
,0,,130.0000,0.0,66082.976671
,0,,132.5000,0.0,66245.045838
,0,,135.0000,0.0,66717.143815
,0,,137.5000,0.0,66680.210272
,0,,140.0000,0.0,67333.594843
,0,,142.5000,0.0,67231.791403
,0,,145.0000,0.0,67456.998793
,0,,147.5000,0.0,68094.311853
,0,,150.0000,0.0,68245.422597
,0,,152.5000,0.0,68726.683795
,0,,155.0000,0.0,69409.593224
,0,,157.5000,0.0,69015.364228
,0,,160.0000,0.0,69291.570334
,0,,162.5000,0.0,69689.256784
,0,,165.0000,0.0,69966.266709
,0,,167.5000,0.0,70034.656988
,0,,170.0000,0.0,70229.743340
,0,,172.5000,0.0,70616.072242
,0,,175.0000,0.0,70765.537257
,0,,177.5000,0.0,70617.120857
,0,,180.0000,0.0,70995.375929
,0,,182.5000,0.0,71189.536492
,0,,185.0000,0.0,71120.635467
,0,,187.5000,0.0,71561.251967
,0,,190.0000,0.0,71475.332685
,0,,192.5000,0.0,72018.769552
,0,,195.0000,0.0,71996.088706
,0,,197.5000,0.0,72114.666578
,0,,200.0000,0.0,72104.087249
,0,,202.5000,0.0,72339.347122
,0,,205.0000,0.0,72059.856339
,0,,207.5000,0.0,72373.543399
,0,,210.0000,0.0,72821.533187
,0,,212.5000,0.0,72396.167558
,0,,215.0000,0.0,73162.783058
,0,,217.5000,0.0,72707.597461
,0,,220.0000,0.0,73366.845661
,0,,222.5000,0.0,73122.200210
,0,,225.0000,0.0,73584.587415
,0,,227.5000,0.0,73544.284668
,0,,230.0000,0.0,73275.985455
,0,,232.5000,0.0,73989.312645
,0,,235.0000,0.0,74127.788593
,0,,237.5000,0.0,73887.329917
,0,,240.0000,0.0,73932.441031
,0,,242.5000,0.0,74047.083638
,0,,245.0000,0.0,73953.119704
,0,,247.5000,0.0,74500.508233
,0,,250.0000,0.0,74218.640444
,0,,252.5000,0.0,74410.547635
,0,,255.0000,0.0,74325.316215
,0,,257.5000,0.0,74441.636874
,0,,260.0000,0.0,74373.131707
,0,,262.5000,0.0,75017.310215
,0,,265.0000,0.0,74775.647354
,0,,267.5000,0.0,75100.645025
,0,,270.0000,0.0,74958.772319
,0,,272.5000,0.0,74870.357045
,0,,275.0000,0.0,75022.726536
,0,,277.5000,0.0,75038.503834
,0,,280.0000,0.0,75234.012665
,0,,282.5000,0.0,75213.742518
,0,,285.0000,0.0,75295.951582
,0,,287.5000,0.0,75116.044885
,0,,290.0000,0.0,75308.516736
,0,,292.5000,0.0,75928.458907
,0,,295.0000,0.0,75462.668394
,0,,297.5000,0.0,75436.123832
,0,,300.0000,0.0,75811.709959
