[Header]
BYAPP, Resistivity
INFO, hall_tdep_synth, SAMPLE
INFO, 2.0, Sample1 Cross Section
INFO, 2.0, Sample1 Length
INFO, 2.0, Sample2 Cross Section
INFO, 2.0, Sample2 Length
[Data]
Temperature (K),Magnetic Field (Oe),Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 2 Resistivity (Ohm-m)
26.0000,-20000.0,2.4520000000e-03,1.2600000000e-03,1.2600000000e-06
27.0000,-20000.0,2.4540000000e-03,1.2700000000e-03,1.2700000000e-06
28.0000,-20000.0,2.4560000000e-03,1.2800000000e-03,1.2800000000e-06
29.0000,-20000.0,2.4580000000e-03,1.2900000000e-03,1.2900000000e-06
30.0000,-20000.0,2.4600000000e-03,1.3000000000e-03,1.3000000000e-06
31.0000,-20000.0,2.4620000000e-03,1.3100000000e-03,1.3100000000e-06
32.0000,-20000.0,2.4640000000e-03,1.3200000000e-03,1.3200000000e-06
33.0000,-20000.0,2.4660000000e-03,1.3300000000e-03,1.3300000000e-06
34.0000,-20000.0,2.4680000000e-03,1.3400000000e-03,1.3400000000e-06
35.0000,-20000.0,2.4700000000e-03,1.3500000000e-03,1.3500000000e-06
36.0000,-20000.0,2.4720000000e-03,1.3600000000e-03,1.3600000000e-06
37.0000,-20000.0,2.4740000000e-03,1.3700000000e-03,1.3700000000e-06
38.0000,-20000.0,2.4760000000e-03,1.3800000000e-03,1.3800000000e-06
39.0000,-20000.0,2.4780000000e-03,1.3900000000e-03,1.3900000000e-06
40.0000,-20000.0,2.4800000000e-03,1.4000000000e-03,1.4000000000e-06
41.0000,-20000.0,2.4820000000e-03,1.4100000000e-03,1.4100000000e-06
42.0000,-20000.0,2.4840000000e-03,1.4200000000e-03,1.4200000000e-06
43.0000,-20000.0,2.4860000000e-03,1.4300000000e-03,1.4300000000e-06
44.0000,-20000.0,2.4880000000e-03,1.4400000000e-03,1.4400000000e-06
45.0000,-20000.0,2.4900000000e-03,1.4500000000e-03,1.4500000000e-06
46.0000,-20000.0,2.4920000000e-03,1.4600000000e-03,1.4600000000e-06
47.0000,-20000.0,2.4940000000e-03,1.4700000000e-03,1.4700000000e-06
48.0000,-20000.0,2.4960000000e-03,1.4800000000e-03,1.4800000000e-06
49.0000,-20000.0,2.4980000000e-03,1.4900000000e-03,1.4900000000e-06
50.0000,-20000.0,2.5000000000e-03,1.5000000000e-03,1.5000000000e-06
51.0000,-20000.0,2.5020000000e-03,1.5100000000e-03,1.5100000000e-06
52.0000,-20000.0,2.5040000000e-03,1.5200000000e-03,1.5200000000e-06
53.0000,-20000.0,2.5060000000e-03,1.5300000000e-03,1.5300000000e-06
54.0000,-20000.0,2.5080000000e-03,1.5400000000e-03,1.5400000000e-06
55.0000,-20000.0,2.5100000000e-03,1.5500000000e-03,1.5500000000e-06
2.0000,40000.0,-5.9600000000e-04,1.0200000000e-03,1.0200000000e-06
3.0000,40000.0,-5.9400000000e-04,1.0300000000e-03,1.0300000000e-06
4.0000,40000.0,-5.9200000000e-04,1.0400000000e-03,1.0400000000e-06
5.0000,40000.0,-5.9000000000e-04,1.0500000000e-03,1.0500000000e-06
6.0000,40000.0,-5.8800000000e-04,1.0600000000e-03,1.0600000000e-06
7.0000,40000.0,-5.8600000000e-04,1.0700000000e-03,1.0700000000e-06
8.0000,40000.0,-5.8400000000e-04,1.0800000000e-03,1.0800000000e-06
9.0000,40000.0,-5.8200000000e-04,1.0900000000e-03,1.0900000000e-06
10.0000,40000.0,-5.8000000000e-04,1.1000000000e-03,1.1000000000e-06
11.0000,40000.0,-5.7800000000e-04,1.1100000000e-03,1.1100000000e-06
12.0000,40000.0,-5.7600000000e-04,1.1200000000e-03,1.1200000000e-06
13.0000,40000.0,-5.7400000000e-04,1.1300000000e-03,1.1300000000e-06
14.0000,40000.0,-5.7200000000e-04,1.1400000000e-03,1.1400000000e-06
15.0000,40000.0,-5.7000000000e-04,1.1500000000e-03,1.1500000000e-06
16.0000,40000.0,-5.6800000000e-04,1.1600000000e-03,1.1600000000e-06
17.0000,40000.0,-5.6600000000e-04,1.1700000000e-03,1.1700000000e-06
18.0000,40000.0,-5.6400000000e-04,1.1800000000e-03,1.1800000000e-06
19.0000,40000.0,-5.6200000000e-04,1.1900000000e-03,1.1900000000e-06
20.0000,40000.0,-5.6000000000e-04,1.2000000000e-03,1.2000000000e-06
21.0000,40000.0,-5.5800000000e-04,1.2100000000e-03,1.2100000000e-06
22.0000,40000.0,-5.5600000000e-04,1.2200000000e-03,1.2200000000e-06
23.0000,40000.0,-5.5400000000e-04,1.2300000000e-03,1.2300000000e-06
24.0000,40000.0,-5.5200000000e-04,1.2400000000e-03,1.2400000000e-06
25.0000,40000.0,-5.5000000000e-04,1.2500000000e-03,1.2500000000e-06
26.0000,40000.0,-5.4800000000e-04,1.2600000000e-03,1.2600000000e-06
27.0000,40000.0,-5.4600000000e-04,1.2700000000e-03,1.2700000000e-06
28.0000,40000.0,-5.4400000000e-04,1.2800000000e-03,1.2800000000e-06
29.0000,40000.0,-5.4200000000e-04,1.2900000000e-03,1.2900000000e-06
30.0000,40000.0,-5.4000000000e-04,1.3000000000e-03,1.3000000000e-06
31.0000,40000.0,-5.3800000000e-04,1.3100000000e-03,1.3100000000e-06
32.0000,40000.0,-5.3600000000e-04,1.3200000000e-03,1.3200000000e-06
33.0000,40000.0,-5.3400000000e-04,1.3300000000e-03,1.3300000000e-06
34.0000,40000.0,-5.3200000000e-04,1.3400000000e-03,1.3400000000e-06
35.0000,40000.0,-5.3000000000e-04,1.3500000000e-03,1.3500000000e-06
36.0000,40000.0,-5.2800000000e-04,1.3600000000e-03,1.3600000000e-06
37.0000,40000.0,-5.2600000000e-04,1.3700000000e-03,1.3700000000e-06
38.0000,40000.0,-5.2400000000e-04,1.3800000000e-03,1.3800000000e-06
39.0000,40000.0,-5.2200000000e-04,1.3900000000e-03,1.3900000000e-06
40.0000,40000.0,-5.2000000000e-04,1.4000000000e-03,1.4000000000e-06
41.0000,40000.0,-5.1800000000e-04,1.4100000000e-03,1.4100000000e-06
42.0000,40000.0,-5.1600000000e-04,1.4200000000e-03,1.4200000000e-06
43.0000,40000.0,-5.1400000000e-04,1.4300000000e-03,1.4300000000e-06
44.0000,40000.0,-5.1200000000e-04,1.4400000000e-03,1.4400000000e-06
45.0000,40000.0,-5.1000000000e-04,1.4500000000e-03,1.4500000000e-06
46.0000,40000.0,-5.0800000000e-04,1.4600000000e-03,1.4600000000e-06
47.0000,40000.0,-5.0600000000e-04,1.4700000000e-03,1.4700000000e-06
48.0000,40000.0,-5.0400000000e-04,1.4800000000e-03,1.4800000000e-06
49.0000,40000.0,-5.0200000000e-04,1.4900000000e-03,1.4900000000e-06
50.0000,40000.0,-5.0000000000e-04,1.5000000000e-03,1.5000000000e-06
51.0000,40000.0,-4.9800000000e-04,1.5100000000e-03,1.5100000000e-06
52.0000,40000.0,-4.9600000000e-04,1.5200000000e-03,1.5200000000e-06
53.0000,40000.0,-4.9400000000e-04,1.5300000000e-03,1.5300000000e-06
54.0000,40000.0,-4.9200000000e-04,1.5400000000e-03,1.5400000000e-06
55.0000,40000.0,-4.9000000000e-04,1.5500000000e-03,1.5500000000e-06
2.0000,-40000.0,4.2040000000e-03,1.0200000000e-03,1.0200000000e-06
3.0000,-40000.0,4.2060000000e-03,1.0300000000e-03,1.0300000000e-06
4.0000,-40000.0,4.2080000000e-03,1.0400000000e-03,1.0400000000e-06
5.0000,-40000.0,4.2100000000e-03,1.0500000000e-03,1.0500000000e-06
6.0000,-40000.0,4.2120000000e-03,1.0600000000e-03,1.0600000000e-06
7.0000,-40000.0,4.2140000000e-03,1.0700000000e-03,1.0700000000e-06
8.0000,-40000.0,4.2160000000e-03,1.0800000000e-03,1.0800000000e-06
9.0000,-40000.0,4.2180000000e-03,1.0900000000e-03,1.0900000000e-06
10.0000,-40000.0,4.2200000000e-03,1.1000000000e-03,1.1000000000e-06
11.0000,-40000.0,4.2220000000e-03,1.1100000000e-03,1.1100000000e-06
12.0000,-40000.0,4.2240000000e-03,1.1200000000e-03,1.1200000000e-06
13.0000,-40000.0,4.2260000000e-03,1.1300000000e-03,1.1300000000e-06
14.0000,-40000.0,4.2280000000e-03,1.1400000000e-03,1.1400000000e-06
15.0000,-40000.0,4.2300000000e-03,1.1500000000e-03,1.1500000000e-06
16.0000,-40000.0,4.2320000000e-03,1.1600000000e-03,1.1600000000e-06
17.0000,-40000.0,4.2340000000e-03,1.1700000000e-03,1.1700000000e-06
18.0000,-40000.0,4.2360000000e-03,1.1800000000e-03,1.1800000000e-06
19.0000,-40000.0,4.2380000000e-03,1.1900000000e-03,1.1900000000e-06
20.0000,-40000.0,4.2400000000e-03,1.2000000000e-03,1.2000000000e-06
21.0000,-40000.0,4.2420000000e-03,1.2100000000e-03,1.2100000000e-06
22.0000,-40000.0,4.2440000000e-03,1.2200000000e-03,1.2200000000e-06
23.0000,-40000.0,4.2460000000e-03,1.2300000000e-03,1.2300000000e-06
24.0000,-40000.0,4.2480000000e-03,1.2400000000e-03,1.2400000000e-06
25.0000,-40000.0,4.2500000000e-03,1.2500000000e-03,1.2500000000e-06
26.0000,-40000.0,4.2520000000e-03,1.2600000000e-03,1.2600000000e-06
27.0000,-40000.0,4.2540000000e-03,1.2700000000e-03,1.2700000000e-06
28.0000,-40000.0,4.2560000000e-03,1.2800000000e-03,1.2800000000e-06
29.0000,-40000.0,4.2580000000e-03,1.2900000000e-03,1.2900000000e-06
30.0000,-40000.0,4.2600000000e-03,1.3000000000e-03,1.3000000000e-06
31.0000,-40000.0,4.2620000000e-03,1.3100000000e-03,1.3100000000e-06
32.0000,-40000.0,4.2640000000e-03,1.3200000000e-03,1.3200000000e-06
33.0000,-40000.0,4.2660000000e-03,1.3300000000e-03,1.3300000000e-06
34.0000,-40000.0,4.2680000000e-03,1.3400000000e-03,1.3400000000e-06
35.0000,-40000.0,4.2700000000e-03,1.3500000000e-03,1.3500000000e-06
36.0000,-40000.0,4.2720000000e-03,1.3600000000e-03,1.3600000000e-06
37.0000,-40000.0,4.2740000000e-03,1.3700000000e-03,1.3700000000e-06
38.0000,-40000.0,4.2760000000e-03,1.3800000000e-03,1.3800000000e-06
39.0000,-40000.0,4.2780000000e-03,1.3900000000e-03,1.3900000000e-06
40.0000,-40000.0,4.2800000000e-03,1.4000000000e-03,1.4000000000e-06
41.0000,-40000.0,4.2820000000e-03,1.4100000000e-03,1.4100000000e-06
42.0000,-40000.0,4.2840000000e-03,1.4200000000e-03,1.4200000000e-06
43.0000,-40000.0,4.2860000000e-03,1.4300000000e-03,1.4300000000e-06
44.0000,-40000.0,4.2880000000e-03,1.4400000000e-03,1.4400000000e-06
45.0000,-40000.0,4.2900000000e-03,1.4500000000e-03,1.4500000000e-06
46.0000,-40000.0,4.2920000000e-03,1.4600000000e-03,1.4600000000e-06
47.0000,-40000.0,4.2940000000e-03,1.4700000000e-03,1.4700000000e-06
48.0000,-40000.0,4.2960000000e-03,1.4800000000e-03,1.4800000000e-06
49.0000,-40000.0,4.2980000000e-03,1.4900000000e-03,1.4900000000e-06
50.0000,-40000.0,4.3000000000e-03,1.5000000000e-03,1.5000000000e-06
51.0000,-40000.0,4.3020000000e-03,1.5100000000e-03,1.5100000000e-06
52.0000,-40000.0,4.3040000000e-03,1.5200000000e-03,1.5200000000e-06
53.0000,-40000.0,4.3060000000e-03,1.5300000000e-03,1.5300000000e-06
54.0000,-40000.0,4.3080000000e-03,1.5400000000e-03,1.5400000000e-06
55.0000,-40000.0,4.3100000000e-03,1.5500000000e-03,1.5500000000e-06
2.0000,60000.0,-7.9600000000e-04,1.0200000000e-03,1.0200000000e-06
3.0000,60000.0,-7.9400000000e-04,1.0300000000e-03,1.0300000000e-06
4.0000,60000.0,-7.9200000000e-04,1.0400000000e-03,1.0400000000e-06
5.0000,60000.0,-7.9000000000e-04,1.0500000000e-03,1.0500000000e-06
6.0000,60000.0,-7.8800000000e-04,1.0600000000e-03,1.0600000000e-06
7.0000,60000.0,-7.8600000000e-04,1.0700000000e-03,1.0700000000e-06
8.0000,60000.0,-7.8400000000e-04,1.0800000000e-03,1.0800000000e-06
9.0000,60000.0,-7.8200000000e-04,1.0900000000e-03,1.0900000000e-06
10.0000,60000.0,-7.8000000000e-04,1.1000000000e-03,1.1000000000e-06
11.0000,60000.0,-7.7800000000e-04,1.1100000000e-03,1.1100000000e-06
12.0000,60000.0,-7.7600000000e-04,1.1200000000e-03,1.1200000000e-06
13.0000,60000.0,-7.7400000000e-04,1.1300000000e-03,1.1300000000e-06
14.0000,60000.0,-7.7200000000e-04,1.1400000000e-03,1.1400000000e-06
15.0000,60000.0,-7.7000000000e-04,1.1500000000e-03,1.1500000000e-06
16.0000,60000.0,-7.6800000000e-04,1.1600000000e-03,1.1600000000e-06
17.0000,60000.0,-7.6600000000e-04,1.1700000000e-03,1.1700000000e-06
18.0000,60000.0,-7.6400000000e-04,1.1800000000e-03,1.1800000000e-06
19.0000,60000.0,-7.6200000000e-04,1.1900000000e-03,1.1900000000e-06
20.0000,60000.0,-7.6000000000e-04,1.2000000000e-03,1.2000000000e-06
21.0000,60000.0,-7.5800000000e-04,1.2100000000e-03,1.2100000000e-06
22.0000,60000.0,-7.5600000000e-04,1.2200000000e-03,1.2200000000e-06
23.0000,60000.0,-7.5400000000e-04,1.2300000000e-03,1.2300000000e-06
24.0000,60000.0,-7.5200000000e-04,1.2400000000e-03,1.2400000000e-06
25.0000,60000.0,-7.5000000000e-04,1.2500000000e-03,1.2500000000e-06
26.0000,60000.0,-7.4800000000e-04,1.2600000000e-03,1.2600000000e-06
27.0000,60000.0,-7.4600000000e-04,1.2700000000e-03,1.2700000000e-06
28.0000,60000.0,-7.4400000000e-04,1.2800000000e-03,1.2800000000e-06
29.0000,60000.0,-7.4200000000e-04,1.2900000000e-03,1.2900000000e-06
30.0000,60000.0,-7.4000000000e-04,1.3000000000e-03,1.3000000000e-06
31.0000,60000.0,-7.3800000000e-04,1.3100000000e-03,1.3100000000e-06
32.0000,60000.0,-7.3600000000e-04,1.3200000000e-03,1.3200000000e-06
33.0000,60000.0,-7.3400000000e-04,1.3300000000e-03,1.3300000000e-06
34.0000,60000.0,-7.3200000000e-04,1.3400000000e-03,1.3400000000e-06
35.0000,60000.0,-7.3000000000e-04,1.3500000000e-03,1.3500000000e-06
36.0000,60000.0,-7.2800000000e-04,1.3600000000e-03,1.3600000000e-06
37.0000,60000.0,-7.2600000000e-04,1.3700000000e-03,1.3700000000e-06
38.0000,60000.0,-7.2400000000e-04,1.3800000000e-03,1.3800000000e-06
39.0000,60000.0,-7.2200000000e-04,1.3900000000e-03,1.3900000000e-06
40.0000,60000.0,-7.2000000000e-04,1.4000000000e-03,1.4000000000e-06
41.0000,60000.0,-7.1800000000e-04,1.4100000000e-03,1.4100000000e-06
42.0000,60000.0,-7.1600000000e-04,1.4200000000e-03,1.4200000000e-06
43.0000,60000.0,-7.1400000000e-04,1.4300000000e-03,1.4300000000e-06
44.0000,60000.0,-7.1200000000e-04,1.4400000000e-03,1.4400000000e-06
45.0000,60000.0,-7.1000000000e-04,1.4500000000e-03,1.4500000000e-06
46.0000,60000.0,-7.0800000000e-04,1.4600000000e-03,1.4600000000e-06
47.0000,60000.0,-7.0600000000e-04,1.4700000000e-03,1.4700000000e-06
48.0000,60000.0,-7.0400000000e-04,1.4800000000e-03,1.4800000000e-06
49.0000,60000.0,-7.0200000000e-04,1.4900000000e-03,1.4900000000e-06
50.0000,60000.0,-7.0000000000e-04,1.5000000000e-03,1.5000000000e-06
51.0000,60000.0,-6.9800000000e-04,1.5100000000e-03,1.5100000000e-06
52.0000,60000.0,-6.9600000000e-04,1.5200000000e-03,1.5200000000e-06
53.0000,60000.0,-6.9400000000e-04,1.5300000000e-03,1.5300000000e-06
54.0000,60000.0,-6.9200000000e-04,1.5400000000e-03,1.5400000000e-06
55.0000,60000.0,-6.9000000000e-04,1.5500000000e-03,1.5500000000e-06
2.0000,-60000.0,6.4040000000e-03,1.0200000000e-03,1.0200000000e-06
3.0000,-60000.0,6.4060000000e-03,1.0300000000e-03,1.0300000000e-06
4.0000,-60000.0,6.4080000000e-03,1.0400000000e-03,1.0400000000e-06
5.0000,-60000.0,6.4100000000e-03,1.0500000000e-03,1.0500000000e-06
6.0000,-60000.0,6.4120000000e-03,1.0600000000e-03,1.0600000000e-06
7.0000,-60000.0,6.4140000000e-03,1.0700000000e-03,1.0700000000e-06
8.0000,-60000.0,6.4160000000e-03,1.0800000000e-03,1.0800000000e-06
9.0000,-60000.0,6.4180000000e-03,1.0900000000e-03,1.0900000000e-06
10.0000,-60000.0,6.4200000000e-03,1.1000000000e-03,1.1000000000e-06
11.0000,-60000.0,6.4220000000e-03,1.1100000000e-03,1.1100000000e-06
12.0000,-60000.0,6.4240000000e-03,1.1200000000e-03,1.1200000000e-06
13.0000,-60000.0,6.4260000000e-03,1.1300000000e-03,1.1300000000e-06
14.0000,-60000.0,6.4280000000e-03,1.1400000000e-03,1.1400000000e-06
15.0000,-60000.0,6.4300000000e-03,1.1500000000e-03,1.1500000000e-06
16.0000,-60000.0,6.4320000000e-03,1.1600000000e-03,1.1600000000e-06
17.0000,-60000.0,6.4340000000e-03,1.1700000000e-03,1.1700000000e-06
18.0000,-60000.0,6.4360000000e-03,1.1800000000e-03,1.1800000000e-06
19.0000,-60000.0,6.4380000000e-03,1.1900000000e-03,1.1900000000e-06
20.0000,-60000.0,6.4400000000e-03,1.2000000000e-03,1.2000000000e-06
21.0000,-60000.0,6.4420000000e-03,1.2100000000e-03,1.2100000000e-06
22.0000,-60000.0,6.4440000000e-03,1.2200000000e-03,1.2200000000e-06
23.0000,-60000.0,6.4460000000e-03,1.2300000000e-03,1.2300000000e-06
24.0000,-60000.0,6.4480000000e-03,1.2400000000e-03,1.2400000000e-06
25.0000,-60000.0,6.4500000000e-03,1.2500000000e-03,1.2500000000e-06
26.0000,-60000.0,6.4520000000e-03,1.2600000000e-03,1.2600000000e-06
27.0000,-60000.0,6.4540000000e-03,1.2700000000e-03,1.2700000000e-06
28.0000,-60000.0,6.4560000000e-03,1.2800000000e-03,1.2800000000e-06
29.0000,-60000.0,6.4580000000e-03,1.2900000000e-03,1.2900000000e-06
30.0000,-60000.0,6.4600000000e-03,1.3000000000e-03,1.3000000000e-06
31.0000,-60000.0,6.4620000000e-03,1.3100000000e-03,1.3100000000e-06
32.0000,-60000.0,6.4640000000e-03,1.3200000000e-03,1.3200000000e-06
33.0000,-60000.0,6.4660000000e-03,1.3300000000e-03,1.3300000000e-06
34.0000,-60000.0,6.4680000000e-03,1.3400000000e-03,1.3400000000e-06
35.0000,-60000.0,6.4700000000e-03,1.3500000000e-03,1.3500000000e-06
36.0000,-60000.0,6.4720000000e-03,1.3600000000e-03,1.3600000000e-06
37.0000,-60000.0,6.4740000000e-03,1.3700000000e-03,1.3700000000e-06
38.0000,-60000.0,6.4760000000e-03,1.3800000000e-03,1.3800000000e-06
39.0000,-60000.0,6.4780000000e-03,1.3900000000e-03,1.3900000000e-06
40.0000,-60000.0,6.4800000000e-03,1.4000000000e-03,1.4000000000e-06
41.0000,-60000.0,6.4820000000e-03,1.4100000000e-03,1.4100000000e-06
42.0000,-60000.0,6.4840000000e-03,1.4200000000e-03,1.4200000000e-06
43.0000,-60000.0,6.4860000000e-03,1.4300000000e-03,1.4300000000e-06
44.0000,-60000.0,6.4880000000e-03,1.4400000000e-03,1.4400000000e-06
45.0000,-60000.0,6.4900000000e-03,1.4500000000e-03,1.4500000000e-06
46.0000,-60000.0,6.4920000000e-03,1.4600000000e-03,1.4600000000e-06
47.0000,-60000.0,6.4940000000e-03,1.4700000000e-03,1.4700000000e-06
48.0000,-60000.0,6.4960000000e-03,1.4800000000e-03,1.4800000000e-06
49.0000,-60000.0,6.4980000000e-03,1.4900000000e-03,1.4900000000e-06
50.0000,-60000.0,6.5000000000e-03,1.5000000000e-03,1.5000000000e-06
51.0000,-60000.0,6.5020000000e-03,1.5100000000e-03,1.5100000000e-06
52.0000,-60000.0,6.5040000000e-03,1.5200000000e-03,1.5200000000e-06
53.0000,-60000.0,6.5060000000e-03,1.5300000000e-03,1.5300000000e-06
54.0000,-60000.0,6.5080000000e-03,1.5400000000e-03,1.5400000000e-06
55.0000,-60000.0,6.5100000000e-03,1.5500000000e-03,1.5500000000e-06
2.0000,20000.0,4.0000000000e-06,1.0200000000e-03,1.0200000000e-06
3.0000,20000.0,6.0000000000e-06,1.0300000000e-03,1.0300000000e-06
4.0000,20000.0,8.0000000000e-06,1.0400000000e-03,1.0400000000e-06
5.0000,20000.0,1.0000000000e-05,1.0500000000e-03,1.0500000000e-06
6.0000,20000.0,1.2000000000e-05,1.0600000000e-03,1.0600000000e-06
7.0000,20000.0,1.4000000000e-05,1.0700000000e-03,1.0700000000e-06
8.0000,20000.0,1.6000000000e-05,1.0800000000e-03,1.0800000000e-06
9.0000,20000.0,1.8000000000e-05,1.0900000000e-03,1.0900000000e-06
10.0000,20000.0,2.0000000000e-05,1.1000000000e-03,1.1000000000e-06
11.0000,20000.0,2.2000000000e-05,1.1100000000e-03,1.1100000000e-06
12.0000,20000.0,2.4000000000e-05,1.1200000000e-03,1.1200000000e-06
13.0000,20000.0,2.6000000000e-05,1.1300000000e-03,1.1300000000e-06
14.0000,20000.0,2.8000000000e-05,1.1400000000e-03,1.1400000000e-06
15.0000,20000.0,3.0000000000e-05,1.1500000000e-03,1.1500000000e-06
16.0000,20000.0,3.2000000000e-05,1.1600000000e-03,1.1600000000e-06
17.0000,20000.0,3.4000000000e-05,1.1700000000e-03,1.1700000000e-06
18.0000,20000.0,3.6000000000e-05,1.1800000000e-03,1.1800000000e-06
19.0000,20000.0,3.8000000000e-05,1.1900000000e-03,1.1900000000e-06
20.0000,20000.0,4.0000000000e-05,1.2000000000e-03,1.2000000000e-06
21.0000,20000.0,4.2000000000e-05,1.2100000000e-03,1.2100000000e-06
22.0000,20000.0,4.4000000000e-05,1.2200000000e-03,1.2200000000e-06
23.0000,20000.0,4.6000000000e-05,1.2300000000e-03,1.2300000000e-06
24.0000,20000.0,4.8000000000e-05,1.2400000000e-03,1.2400000000e-06
25.0000,20000.0,5.0000000000e-05,1.2500000000e-03,1.2500000000e-06
26.0000,20000.0,5.2000000000e-05,1.2600000000e-03,1.2600000000e-06
27.0000,20000.0,5.4000000000e-05,1.2700000000e-03,1.2700000000e-06
28.0000,20000.0,5.6000000000e-05,1.2800000000e-03,1.2800000000e-06
29.0000,20000.0,5.8000000000e-05,1.2900000000e-03,1.2900000000e-06
30.0000,20000.0,6.0000000000e-05,1.3000000000e-03,1.3000000000e-06
31.0000,20000.0,6.2000000000e-05,1.3100000000e-03,1.3100000000e-06
32.0000,20000.0,6.4000000000e-05,1.3200000000e-03,1.3200000000e-06
33.0000,20000.0,6.6000000000e-05,1.3300000000e-03,1.3300000000e-06
34.0000,20000.0,6.8000000000e-05,1.3400000000e-03,1.3400000000e-06
35.0000,20000.0,7.0000000000e-05,1.3500000000e-03,1.3500000000e-06
36.0000,20000.0,7.2000000000e-05,1.3600000000e-03,1.3600000000e-06
37.0000,20000.0,7.4000000000e-05,1.3700000000e-03,1.3700000000e-06
38.0000,20000.0,7.6000000000e-05,1.3800000000e-03,1.3800000000e-06
39.0000,20000.0,7.8000000000e-05,1.3900000000e-03,1.3900000000e-06
40.0000,20000.0,8.0000000000e-05,1.4000000000e-03,1.4000000000e-06
41.0000,20000.0,8.2000000000e-05,1.4100000000e-03,1.4100000000e-06
42.0000,20000.0,8.4000000000e-05,1.4200000000e-03,1.4200000000e-06
43.0000,20000.0,8.6000000000e-05,1.4300000000e-03,1.4300000000e-06
44.0000,20000.0,8.8000000000e-05,1.4400000000e-03,1.4400000000e-06
45.0000,20000.0,9.0000000000e-05,1.4500000000e-03,1.4500000000e-06
46.0000,20000.0,9.2000000000e-05,1.4600000000e-03,1.4600000000e-06
47.0000,20000.0,9.4000000000e-05,1.4700000000e-03,1.4700000000e-06
48.0000,20000.0,9.6000000000e-05,1.4800000000e-03,1.4800000000e-06
49.0000,20000.0,9.8000000000e-05,1.4900000000e-03,1.4900000000e-06
50.0000,20000.0,1.0000000000e-04,1.5000000000e-03,1.5000000000e-06
51.0000,20000.0,1.0200000000e-04,1.5100000000e-03,1.5100000000e-06
52.0000,20000.0,1.0400000000e-04,1.5200000000e-03,1.5200000000e-06
53.0000,20000.0,1.0600000000e-04,1.5300000000e-03,1.5300000000e-06
54.0000,20000.0,1.0800000000e-04,1.5400000000e-03,1.5400000000e-06
55.0000,20000.0,1.1000000000e-04,1.5500000000e-03,1.5500000000e-06
56.0000,20000.0,1.1200000000e-04,1.5600000000e-03,1.5600000000e-06
57.0000,20000.0,1.1400000000e-04,1.5700000000e-03,1.5700000000e-06
58.0000,20000.0,1.1600000000e-04,1.5800000000e-03,1.5800000000e-06
59.0000,20000.0,1.1800000000e-04,1.5900000000e-03,1.5900000000e-06
60.0000,20000.0,1.2000000000e-04,1.6000000000e-03,1.6000000000e-06
61.0000,20000.0,1.2200000000e-04,1.6100000000e-03,1.6100000000e-06
62.0000,20000.0,1.2400000000e-04,1.6200000000e-03,1.6200000000e-06
63.0000,20000.0,1.2600000000e-04,1.6300000000e-03,1.6300000000e-06
64.0000,20000.0,1.2800000000e-04,1.6400000000e-03,1.6400000000e-06
